DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,fog,heavy_fog,thunder,sleet,hail,glaze,smoke,blowing_snow,tornado,high_wind,mist,drizzle,rain,snow,PRCP_unknown_source
2012-01-01,3.5,0.21500000000000002,0.02527472527472527,0.0,0.0,36.3,44.6,28.0,34.142857142857146,1.0,,,,,,1.0,,,,,,1.0,1.0,
2012-01-02,2.0,0.02,0.016666666666666666,0.13783783783783785,0.125,26.2,33.4,19.0,19.857142857142858,1.0,,,,,,,,,,,,,1.0,
2012-01-03,3.625,0.09625,0.0034482758620689655,0.027500000000000004,0.02553191489361702,19.25,26.3,12.2,18.428571428571427,,,,,,,,,,,,,,,
2012-01-04,6.0,0.41,0.0,0.0,0.0,28.4,36.8,20.0,28.285714285714285,,,,,,,,,,,,,,,
2012-01-05,9.0,0.41500000000000004,0.0,0.0,0.0,36.45,47.0,25.9,36.142857142857146,,,,,,,,,,,,,,,
2012-01-06,7.5,0.25,0.0,0.0,0.0,44.25,53.2,35.3,41.857142857142854,,,,,,,,,,,,,,,
2012-01-07,,,0.0,0.0,0.0,39.9,49.5,30.3,33.142857142857146,,,,,,,,,,,,,,,
2012-01-08,12.333333333333334,0.25,0.0,0.0,0.0,33.400000000000006,42.7,24.1,26.714285714285715,1.0,,,,,,,,,,,,,,
2012-01-09,2.0,0.0,0.0,0.0,0.0,34.85,45.0,24.7,32.142857142857146,1.0,,,,,,1.0,,,,1.0,,,,
2012-01-10,,,0.0,0.0,0.0,38.650000000000006,50.2,27.1,33.285714285714285,,,,,,,,,,,,,,,
2012-01-11,7.666666666666667,0.11,0.0,0.0,0.0,40.2,52.3,28.1,32.142857142857146,1.0,,,,,,1.0,,,,,,,,
2012-01-12,,,0.01533980582524272,0.197029702970297,0.4,32.6,43.6,21.6,27.285714285714285,1.0,1.0,,,,,1.0,,,,1.0,,,1.0,
2012-01-13,2.0,2.05,0.46068627450980393,4.935227272727273,5.219354838709678,20.87777777777778,26.555555555555557,15.2,17.285714285714285,1.0,,,,,,1.0,,,,,,,1.0,
2012-01-14,2.0,0.45,0.0036263736263736266,0.12692307692307692,4.983673469387755,17.4,21.7,13.1,15.285714285714286,1.0,,,,,,1.0,,,,1.0,,,1.0,
2012-01-15,,,0.0,0.0012195121951219512,4.446666666666666,19.0,28.1,9.9,23.571428571428573,,,,,,,,,,,,,,1.0,
2012-01-16,2.5,0.0,0.001847826086956522,0.0,3.725,32.75,40.4,25.1,36.857142857142854,1.0,,,,,,1.0,,,,1.0,,1.0,,
2012-01-17,5.0,0.5800000000000001,0.11315789473684211,0.02307692307692308,0.4782608695652174,33.2,43.3,23.1,28.714285714285715,1.0,,,,,,1.0,,,,1.0,1.0,1.0,1.0,
2012-01-18,3.0,0.19333333333333336,0.0521978021978022,0.16666666666666666,0.39591836734693875,20.200000000000003,31.1,9.3,16.571428571428573,,,,,,,,,,,,,,,
2012-01-19,2.0,0.08499999999999999,0.017241379310344827,0.25189873417721514,0.53,17.3,28.0,6.6,13.142857142857142,,,,,,,,,,,,,,1.0,
