Date,Holiday,WeekDay
2015-07-04,4th of July,Saturday
2016-07-04,4th of July,Monday
2017-07-04,4th of July,Tuesday
2018-07-04,4th of July,Wednesday
2019-07-04,4th of July,Thursday
2015-12-25,Christmas Day,Friday
2016-12-25,Christmas Day,Sunday
2017-12-25,Christmas Day,Monday
2018-12-25,Christmas Day,Tuesday
2019-12-25,Christmas Day,Wednesday
2015-12-24,Christmas Eve,Thursday
2016-12-24,Christmas Eve,Saturday
2017-12-24,Christmas Eve,Sunday
2018-12-24,Christmas Eve,Monday
2019-12-24,Christmas Eve,Tuesday
2018-10-08,Columbus Day,Monday
2017-10-09,Columbus Day,Monday
2016-10-10,Columbus Day,Monday
2015-10-12,Columbus Day,Monday
2019-10-14,Columbus Day,Monday
2018-04-08,Eastern Easter,Sunday
2015-04-12,Eastern Easter,Sunday
2017-04-16,Eastern Easter,Sunday
2019-04-28,Eastern Easter,Sunday
2016-05-01,Eastern Easter,Sunday
2015-06-19,Juneteenth,Friday
2016-06-19,Juneteenth,Sunday
2017-06-19,Juneteenth,Monday
2018-06-19,Juneteenth,Tuesday
2019-06-19,Juneteenth,Wednesday
2019-09-02,Labor Day,Monday
2018-09-03,Labor Day,Monday
2017-09-04,Labor Day,Monday
2016-09-05,Labor Day,Monday
2015-09-07,Labor Day,Monday
2019-08-31,Labor Day Weekend,Saturday
2019-09-01,Labor Day Weekend,Sunday
2018-09-01,Labor Day Weekend,Saturday
2018-09-02,Labor Day Weekend,Sunday
2017-09-02,Labor Day Weekend,Saturday
2017-09-03,Labor Day Weekend,Sunday
2016-09-03,Labor Day Weekend,Saturday
2016-09-04,Labor Day Weekend,Sunday
2015-09-05,Labor Day Weekend,Saturday
2015-09-06,Labor Day Weekend,Sunday
2018-01-15,"Martin Luther King, Jr. Day",Monday
2017-01-16,"Martin Luther King, Jr. Day",Monday
2016-01-18,"Martin Luther King, Jr. Day",Monday
2015-01-19,"Martin Luther King, Jr. Day",Monday
2019-01-21,"Martin Luther King, Jr. Day",Monday
2015-05-25,Memorial Day,Monday
2019-05-27,Memorial Day,Monday
2018-05-28,Memorial Day,Monday
2017-05-29,Memorial Day,Monday
2016-05-30,Memorial Day,Monday
2015-01-01,New Year's Day,Thursday
2016-01-01,New Year's Day,Friday
2017-01-01,New Year's Day,Sunday
2018-01-01,New Year's Day,Monday
2019-01-01,New Year's Day,Tuesday
2015-12-31,New Year’s Eve,Thursday
2016-12-31,New Year’s Eve,Saturday
2017-12-31,New Year’s Eve,Sunday
2018-12-31,New Year’s Eve,Monday
2019-12-31,New Year’s Eve,Tuesday
2018-11-22,Thanksgiving Day,Thursday
2017-11-23,Thanksgiving Day,Thursday
2016-11-24,Thanksgiving Day,Thursday
2015-11-26,Thanksgiving Day,Thursday
2019-11-28,Thanksgiving Day,Thursday
2018-11-21,Thanksgiving Eve,Wednesday
2017-11-22,Thanksgiving Eve,Wednesday
2016-11-23,Thanksgiving Eve,Wednesday
2015-11-25,Thanksgiving Eve,Wednesday
2019-11-27,Thanksgiving Eve,Wednesday
2015-02-14,Valentine’s Day,Saturday
2016-02-14,Valentine’s Day,Sunday
2017-02-14,Valentine’s Day,Tuesday
2018-02-14,Valentine’s Day,Wednesday
2019-02-14,Valentine’s Day,Thursday
2015-11-11,Veterans Day,Wednesday
2016-11-11,Veterans Day,Friday
2017-11-11,Veterans Day,Saturday
2018-11-11,Veterans Day,Sunday
2019-11-11,Veterans Day,Monday
2016-02-15,Washington's Birthday,Monday
2015-02-16,Washington's Birthday,Monday
2019-02-18,Washington's Birthday,Monday
2018-02-19,Washington's Birthday,Monday
2017-02-20,Washington's Birthday,Monday
2016-03-27,Western Easter,Sunday
2018-04-01,Western Easter,Sunday
2015-04-05,Western Easter,Sunday
2017-04-16,Western Easter,Sunday
2019-04-21,Western Easter,Sunday
